Afghanistan,Lebanon,8,8
Serbia,India,,
Macedonia,Spain,,
Mauritania,Iceland,,1
El Salvador,Argentina,,
Somalia,Uganda,6085,8172
China,India,100003,100003
Cambodia,Germany,130,156
Guinea,Algeria,,
Iran,Tajikistan,5,0
Saudi Arabia,Thailand,1,1
Afghanistan,Moldova,10,9
Uruguay,Belgium,2,2
Czech Rep.,Venezuela,,
Morocco,Belgium,9,14
Togo,Senegal,1,1
Sudan,Jordan,44,191
Namibia,Australia,,
Dominican Rep.,Costa Rica,6,6
Angola,Argentina,15,14
Serbia,Liechtenstein,62,62
"Congo, Dem.Rep.",Iceland,1,1
Honduras,France,,0
Slovakia,Iceland,4,4
Mexico,United States,1227,1384
Ethiopia,Slovenia,1,1
Iraq,Serbia,60,44
South Africa,Belgium,2,2
Somalia,Algeria,4,5
Ethiopia,Cuba,6,1
"Congo, Dem.Rep.",Costa Rica,3,3
"Congo, Dem.Rep.",Canada,5687,5284
El Salvador,Ecuador,5,5
Kenya,Spain,,
Angola,New Zealand,2,2
Turkey,Iraq,15716,10125
Tunisia,Emirates,1,1
Slovakia,Netherlands,30,21
Haiti,Netherlands,2,2
El Salvador,Canada,849,889
Afghanistan,Spain,69,70
Côte d'Ivoire,Mexico,6,6
Madagascar,Slovakia,,
Guinea,Germany,404,572
Bosnia & Herz.,Germany,24697,24947
Chad,South Africa,,
Cameroon,United Kingdom,829,871
Syria,Canada,603,577
Russia,Spain,507,464
Somalia,Czech Rep.,19,27
Somalia,Luxembourg,,0
Grenada,United States,5,8
Indonesia,Sweden,5,6
Croatia,Czech Rep.,3,3
Bolivia,Austria,6,6
Guyana,United Kingdom,5,5
Austria,Austria,,
Congo,Bolivia,1,1
Congo,Guinea,12,12
Laos,Kazakhstan,,
Nicaragua,Belize,13,5
Morocco,Botswana,,
Serbia,Panama,,
Cuba,Australia,5,6
China,Romania,3,4
Gambia,Iceland,,
Equatorial Guinea,Nigeria,4,4
Ethiopia,Jordan,,
Bosnia & Herz.,Ghana,,
Sweden,Australia,,1
Mali,Sweden,2,5
Zambia,Namibia,,
Bosnia & Herz.,South Africa,27,27
Côte d'Ivoire,Switzerland,104,114
Myanmar,Sweden,40,46
Nepal,Moldova,,1
Laos,Canada,5,5
Georgia,United Kingdom,41,43
Liberia,Egypt,6,6
Ukraine,Sweden,162,163
Iran,Azerbaijan,97,113
China,Portugal,,
Central Afr. Rep.,Tunisia,,1
Haiti,Bahamas,,
Syria,Azerbaijan,,0
Congo,Belgium,36,34
Burundi,Côte d'Ivoire,36,33
Guatemala,Brazil,2,2
Bolivia,Netherlands,,
Djibouti,Sweden,1,1
Mauritius,Canada,6,7
